"URXMC1.Code.or.Value","URXMC1.Value.Description","URXMC1.Count","URXMC1.Cumulative","URXMC1.Skip.to.Item"
"0.3 to 217.4","Range of Values",2782,2782,NA
".","Missing",119,2901,NA
