"WBXA087.Code.or.Value","WBXA087.Value.Description","WBXA087.Count","WBXA087.Cumulative","WBXA087.Skip.to.Item"
"-0.9868 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
