"LBXHGB.Code.or.Value","LBXHGB.Value.Description","LBXHGB.Count","LBXHGB.Cumulative","LBXHGB.Skip.to.Item"
"5.9 to 19.7","Range of Values",8952,8952,NA
".","Missing",977,9929,NA
