"DMDFMSIZ.Code.or.Value","DMDFMSIZ.Value.Description","DMDFMSIZ.Count","DMDFMSIZ.Cumulative","DMDFMSIZ.Skip.to.Item"
"1 to 6","Range of Values",9019,9019,NA
"7","7 or more people in the Family",737,9756,NA
".","Missing",0,9756,NA
