"VTD261B.Code.or.Value","VTD261B.Value.Description","VTD261B.Count","VTD261B.Cumulative","VTD261B.Skip.to.Item"
"1 to 48","Range of Values",89,89,NA
"0","Less than one hour",1,90,NA
"77","Refused",0,90,NA
"99","Don't know",1,91,NA
".","Missing",3081,3172,NA
