"RFXC060.Code.or.Value","RFXC060.Value.Description","RFXC060.Count","RFXC060.Cumulative","RFXC060.Skip.to.Item"
"-7.556 to 5.256","Range of Values",33700,33700,NA
".","Missing",21,33721,NA
