"LBCBR6.Code.or.Value","LBCBR6.Value.Description","LBCBR6.Count","LBCBR6.Cumulative","LBCBR6.Skip.to.Item"
"3.173 to 176.9","Range of Values",284,284,NA
".","Missing",0,284,NA
