"BIXS060K.Code.or.Value","BIXS060K.Value.Description","BIXS060K.Count","BIXS060K.Cumulative","BIXS060K.Skip.to.Item"
"168.72 to 971.52","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
