"URXFRM.Code.or.Value","URXFRM.Value.Description","URXFRM.Count","URXFRM.Cumulative","URXFRM.Skip.to.Item"
"0.042 to 0.042","Range of Values",2255,2255,NA
".","Missing",357,2612,NA
