"SMQ852U.Code.or.Value","SMQ852U.Value.Description","SMQ852U.Count","SMQ852U.Cumulative","SMQ852U.Skip.to.Item"
"1","Days",258,258,NA
"2","Weeks",118,376,NA
"3","Months",143,519,NA
"7","Refused",0,519,NA
"9","Don't know",0,519,NA
".","Missing",6205,6724,NA
