"URXMAL.Code.or.Value","URXMAL.Value.Description","URXMAL.Count","URXMAL.Cumulative","URXMAL.Skip.to.Item"
"0.01 to 700","Range of Values",1920,1920,NA
".","Missing",205,2125,NA
