"RFXC108.Code.or.Value","RFXC108.Value.Description","RFXC108.Count","RFXC108.Cumulative","RFXC108.Skip.to.Item"
"-7.379 to 5.312","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
