"DR1TVB2.Code.or.Value","DR1TVB2.Value.Description","DR1TVB2.Count","DR1TVB2.Cumulative","DR1TVB2.Skip.to.Item"
"0 to 29.455","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
