"LBXFER.Code.or.Value","LBXFER.Value.Description","LBXFER.Count","LBXFER.Cumulative","LBXFER.Skip.to.Item"
"2 to 1090","Range of Values",2909,2909,NA
".","Missing",612,3521,NA
