"DR1_330Z.Code.or.Value","DR1_330Z.Value.Description","DR1_330Z.Count","DR1_330Z.Cumulative","DR1_330Z.Skip.to.Item"
"0 to 12886.88","Range of Values",8519,8519,NA
".","Missing",819,9338,NA
