"MCQ260AA.Code.or.Value","MCQ260AA.Value.Description","MCQ260AA.Count","MCQ260AA.Cumulative","MCQ260AA.Skip.to.Item"
"1","Mother",823,823,"MCQ250B"
"77","Refused",0,823,"MCQ250B"
"99","Don't know",4,827,"MCQ250B"
".","Missing",8818,9645,""
