"AUDTYR73.Code.or.Value","AUDTYR73.Value.Description","AUDTYR73.Count","AUDTYR73.Cumulative","AUDTYR73.Skip.to.Item"
"0 to 0.84","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
