"ARQ022D.Code.or.Value","ARQ022D.Value.Description","ARQ022D.Count","ARQ022D.Cumulative","ARQ022D.Skip.to.Item"
"0 to 68","Range of Values",980,980,NA
"777","Refused",0,980,NA
"999","Don't know",9,989,NA
".","Missing",4117,5106,NA
