"MCQ160G.Code.or.Value","MCQ160G.Value.Description","MCQ160G.Count","MCQ160G.Cumulative","MCQ160G.Skip.to.Item"
"1","Yes",164,164,""
"2","No",5760,5924,"MCQ160M"
"7","Refused",0,5924,"MCQ160M"
"9","Don't know",11,5935,"MCQ160M"
".","Missing",3731,9666,""
