"SMD100NI.Code.or.Value","SMD100NI.Value.Description","SMD100NI.Count","SMD100NI.Cumulative","SMD100NI.Skip.to.Item"
"0.1 to 1.9","Range of Values",966,966,NA
".","Missing",5824,6790,NA
