"DR1TP226.Code.or.Value","DR1TP226.Value.Description","DR1TP226.Count","DR1TP226.Cumulative","DR1TP226.Skip.to.Item"
"0 to 4.337","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
