"URXUSR.Code.or.Value","URXUSR.Value.Description","URXUSR.Count","URXUSR.Cumulative","URXUSR.Skip.to.Item"
"1.655 to 7565.49","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
