"WBXP100.Code.or.Value","WBXP100.Value.Description","WBXP100.Count","WBXP100.Cumulative","WBXP100.Skip.to.Item"
"-144.4597 to 173.9546","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
