"KIQ161.Code.or.Value","KIQ161.Value.Description","KIQ161.Count","KIQ161.Cumulative","KIQ161.Skip.to.Item"
"19 to 84","Range of Values",210,210,NA
"85","85 or greater years",2,212,NA
"777","Refused",0,212,NA
"999","Don't know",3,215,NA
".","Missing",2069,2284,NA
