"HSQ500.Code.or.Value","HSQ500.Value.Description","HSQ500.Count","HSQ500.Cumulative","HSQ500.Skip.to.Item"
"1","Yes",1804,1804,NA
"2","No",7094,8898,NA
"7","Refused",5,8903,NA
"9","Don't know",15,8918,NA
".","Missing",917,9835,NA
