"DR2TFF.Code.or.Value","DR2TFF.Value.Description","DR2TFF.Count","DR2TFF.Cumulative","DR2TFF.Skip.to.Item"
"0 to 1829","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
