"AUDTYL03.Code.or.Value","AUDTYL03.Value.Description","AUDTYL03.Count","AUDTYL03.Cumulative","AUDTYL03.Skip.to.Item"
"0 to 0.91","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
