"URDDHDLC.Code.or.Value","URDDHDLC.Value.Description","URDDHDLC.Count","URDDHDLC.Cumulative","URDDHDLC.Skip.to.Item"
"0","At or above detection limit",359,359,NA
"1","Below lower detection limit",2203,2562,NA
".","Missing",132,2694,NA
