"LBXID2.Code.or.Value","LBXID2.Value.Description","LBXID2.Count","LBXID2.Cumulative","LBXID2.Skip.to.Item"
"0.25 to 1000","Range of Values",8258,8258,NA
".","Missing",1182,9440,NA
