"DR2TS060.Code.or.Value","DR2TS060.Value.Description","DR2TS060.Count","DR2TS060.Cumulative","DR2TS060.Skip.to.Item"
"0 to 3.8","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
