"LBDTRSI.Code.or.Value","LBDTRSI.Value.Description","LBDTRSI.Count","LBDTRSI.Cumulative","LBDTRSI.Skip.to.Item"
"0.135 to 28.778","Range of Values",3099,3099,NA
".","Missing",216,3315,NA
