"DSQTLYCO.Code.or.Value","DSQTLYCO.Value.Description","DSQTLYCO.Count","DSQTLYCO.Cumulative","DSQTLYCO.Skip.to.Item"
"10 to 30000","Range of Values",610,610,NA
".","Missing",9146,9756,NA
