"DSQIFA.Code.or.Value","DSQIFA.Value.Description","DSQIFA.Count","DSQIFA.Cumulative","DSQIFA.Skip.to.Item"
"0.901 to 8000","Range of Values",2727,2727,NA
".","Missing",5558,8285,NA
