"WTSPO51.Code.or.Value","WTSPO51.Value.Description","WTSPO51.Count","WTSPO51.Cumulative","WTSPO51.Skip.to.Item"
"0.0000000 to 841146.6897400","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
