"PFD069N.Code.or.Value","PFD069N.Value.Description","PFD069N.Count","PFD069N.Cumulative","PFD069N.Skip.to.Item"
"365 to 5479","Range of Values",21,21,NA
"66666","Since birth",0,21,NA
"77777","Refused",0,21,NA
"99999","Don't know",2,23,NA
".","Missing",9799,9822,NA
