"CIQGPK.Code.or.Value","CIQGPK.Value.Description","CIQGPK.Count","CIQGPK.Cumulative","CIQGPK.Skip.to.Item"
"1","Yes",0,0,"CIDGPRB"
"2","No",0,0,"CIDGPRB"
"7","Refused",0,0,"CIDGPRB"
"9","Don't know",0,0,"CIDGPRB"
".","Missing",778,778,""
