"MPQ120o.Code.or.Value","MPQ120o.Value.Description","MPQ120o.Count","MPQ120o.Cumulative","MPQ120o.Skip.to.Item"
"24","Buttocks - right",192,192,NA
".","Missing",5219,5411,NA
