"LBDLYCSI.Code.or.Value","LBDLYCSI.Value.Description","LBDLYCSI.Count","LBDLYCSI.Cumulative","LBDLYCSI.Skip.to.Item"
"0.011 to 2.049","Range of Values",7254,7254,NA
".","Missing",832,8086,NA
