"LBCBR11L.Code.or.Value","LBCBR11L.Value.Description","LBCBR11L.Count","LBCBR11L.Cumulative","LBCBR11L.Skip.to.Item"
"0.5657 to 20.37","Range of Values",265,265,NA
".","Missing",0,265,NA
