"BAXPFC42.Code.or.Value","BAXPFC42.Value.Description","BAXPFC42.Count","BAXPFC42.Cumulative","BAXPFC42.Skip.to.Item"
"1","Pass",164,164,"End of Section"
"2","Dnp(did not pass)",286,450,""
".","Missing",561,1011,""
