"RFXC143.Code.or.Value","RFXC143.Value.Description","RFXC143.Count","RFXC143.Cumulative","RFXC143.Skip.to.Item"
"-3.07 to 6.671","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
