"BMXHEAD.Code.or.Value","BMXHEAD.Value.Description","BMXHEAD.Count","BMXHEAD.Cumulative","BMXHEAD.Skip.to.Item"
"36.2 to 48.5","Range of Values",215,215,NA
".","Missing",9329,9544,NA
