"DR2TS160.Code.or.Value","DR2TS160.Value.Description","DR2TS160.Count","DR2TS160.Cumulative","DR2TS160.Skip.to.Item"
"0 to 90.398","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
