"ORXH68.Code.or.Value","ORXH68.Value.Description","ORXH68.Count","ORXH68.Cumulative","ORXH68.Skip.to.Item"
"1","Positive",7,7,NA
"2","Negative",4403,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
