"OSQ120h.Code.or.Value","OSQ120h.Value.Description","OSQ120h.Count","OSQ120h.Cumulative","OSQ120h.Skip.to.Item"
"1","Yes",4,4,""
"2","No",2,6,"OSQ060"
"7","Refused",0,6,"OSQ060"
"9","Don't know",0,6,"OSQ060"
".","Missing",5929,5935,""
