"BPXDI3.Code.or.Value","BPXDI3.Value.Description","BPXDI3.Count","BPXDI3.Cumulative","BPXDI3.Skip.to.Item"
"0 to 126","Range of Values",6837,6837,NA
".","Missing",3640,10477,NA
