"CBD630.Code.or.Value","CBD630.Value.Description","CBD630.Count","CBD630.Cumulative","CBD630.Skip.to.Item"
"0 to 15","Range of Values",3673,3673,NA
"77777777","refused",0,3673,NA
"99999999","Don't know",175,3848,NA
".","Missing",2551,6399,NA
