"PFQ020.Code.or.Value","PFQ020.Value.Description","PFQ020.Count","PFQ020.Cumulative","PFQ020.Skip.to.Item"
"1","Yes",128,128,""
"2","No",3332,3460,"PFQ035a"
"7","Refused",0,3460,"PFQ035a"
"9","Don't know",1,3461,"PFQ035a"
".","Missing",5769,9230,""
