"LBXGH.Code.or.Value","LBXGH.Value.Description","LBXGH.Count","LBXGH.Cumulative","LBXGH.Skip.to.Item"
"3.8 to 15.6","Range of Values",6493,6493,NA
".","Missing",487,6980,NA
