"DS1IVB2.Code.or.Value","DS1IVB2.Value.Description","DS1IVB2.Count","DS1IVB2.Cumulative","DS1IVB2.Skip.to.Item"
"0.003 to 400","Range of Values",1165,1165,NA
".","Missing",4793,5958,NA
