"CIQDPA.Code.or.Value","CIQDPA.Value.Description","CIQDPA.Count","CIQDPA.Cumulative","CIQDPA.Skip.to.Item"
"1","Yes",4,4,"CIQDPD"
"2","No",60,64,""
"7","Refuse",0,64,""
"9","Don't know",0,64,""
".","Missing",714,778,""
