"LBXCOT.Code.or.Value","LBXCOT.Value.Description","LBXCOT.Count","LBXCOT.Cumulative","LBXCOT.Skip.to.Item"
"0.011 to 1438","Range of Values",7748,7748,NA
".","Missing",964,8712,NA
