"DXXLLBMD.Code.or.Value","DXXLLBMD.Value.Description","DXXLLBMD.Count","DXXLLBMD.Cumulative","DXXLLBMD.Skip.to.Item"
"0.499 to 2.904","Range of Values",4862,4862,NA
".","Missing",918,5780,NA
