"SSDCP.Code.or.Value","SSDCP.Value.Description","SSDCP.Count","SSDCP.Cumulative","SSDCP.Skip.to.Item"
"0.354 to 0.354","Range of Values",2430,2430,NA
".","Missing",0,2430,NA
