"DBQ700.Code.or.Value","DBQ700.Value.Description","DBQ700.Count","DBQ700.Cumulative","DBQ700.Skip.to.Item"
"1","Excellent",597,597,NA
"2","Very good",1316,1913,NA
"3","Good",2641,4554,NA
"4","Fair",1293,5847,NA
"5","Poor",321,6168,NA
"7","Refused",1,6169,NA
"9","Don't know",5,6174,NA
".","Missing",3582,9756,NA
