"CVXS1RPE.Code.or.Value","CVXS1RPE.Value.Description","CVXS1RPE.Count","CVXS1RPE.Cumulative","CVXS1RPE.Skip.to.Item"
"6 to 20","Range of Values",2877,2877,NA
".","Missing",1725,4602,NA
