"AUXR1K2R.Code.or.Value","AUXR1K2R.Value.Description","AUXR1K2R.Count","AUXR1K2R.Cumulative","AUXR1K2R.Skip.to.Item"
"666","No response",0,0,NA
"888","Could not obtain",0,0,NA
".","Missing",1210,1210,NA
