"DR2TATOA.Code.or.Value","DR2TATOA.Value.Description","DR2TATOA.Count","DR2TATOA.Cumulative","DR2TATOA.Skip.to.Item"
"0 to 47.59","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
