"LBXSCK.Code.or.Value","LBXSCK.Value.Description","LBXSCK.Count","LBXSCK.Cumulative","LBXSCK.Skip.to.Item"
"17 to 3963","Range of Values",6248,6248,NA
".","Missing",496,6744,NA
