"LBDBPBLC.Code.or.Value","LBDBPBLC.Value.Description","LBDBPBLC.Count","LBDBPBLC.Cumulative","LBDBPBLC.Skip.to.Item"
"0","At or above the detection limit",7829,7829,NA
"1","Below lower detection limit",91,7920,NA
".","Missing",1036,8956,NA
