"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"83.3 to 886.3","Range of Values",6490,6490,NA
".","Missing",500,6990,NA
