"DS1DS.Code.or.Value","DS1DS.Value.Description","DS1DS.Count","DS1DS.Cumulative","DS1DS.Skip.to.Item"
"1","Yes",2581,2581,NA
"2","No",5034,7615,NA
"7","Refused",0,7615,NA
"9","Don't know",0,7615,NA
".","Missing",1089,8704,NA
