"MCQ170l.Code.or.Value","MCQ170l.Value.Description","MCQ170l.Count","MCQ170l.Cumulative","MCQ170l.Skip.to.Item"
"1","Yes",133,133,NA
"2","No",100,233,NA
"7","Refused",0,233,NA
"9","Don't know",26,259,NA
".","Missing",9316,9575,NA
