"OHAROCOH.Code.or.Value","OHAROCOH.Value.Description","OHAROCOH.Count","OHAROCOH.Cumulative","OHAROCOH.Skip.to.Item"
"1","Yes",2384,2384,NA
".","Missing",6203,8587,NA
